node_id,theme_id,phase,state_description,trigger,hypotheses,confidence_level,notes
NODE-003C,THEME-003,対応選択,自分で対処したい,停車中,"空気補充|修理キット使用",0.7,
NODE-004A,THEME-004,異常検知,スタートボタンを押しても反応しない,始動操作,"キー認識不良|バッテリー上がり|操作手順誤り",0.9,
NODE-004B,THEME-004,判定,メーターが点灯しない,始動操作,"バッテリー上がり",0.9,
NODE-004C,THEME-004,対応選択,すぐに動かしたい,時間制約,"ジャンプスタート|ロードサービス",0.8,
NODE-005A,THEME-005,異常検知,先進機能が作動しない,機能使用時,"作動条件未達|一時停止状態|センサー汚れ",0.9,
NODE-005B,THEME-005,判定,天候が悪い,走行環境,"センサー汚れ|条件未達",0.8,
NODE-005C,THEME-005,理解促進,故障かどうか知りたい,警告表示,"正常仕様|条件説明",0.7,
THEME-002-START,THEME-002,異常検知,ブレーキ警告灯が点灯,ユーザーが問題を認識,,1.0,開始ノード
THEME-002-N001,THEME-002,判定,パーキングブレーキ未解除,,,0.8,
THEME-002-N002,THEME-002,問題・故障,パーキングブレーキ故障,,,0.8,
THEME-002-→--販売店連絡,THEME-002,エスカレーション,→  販売店連絡,,,1.0,終端ノード(⚠)
THEME-002-N003,THEME-002,判定,ブレーキ液確認,,,0.8,
THEME-002-N004,THEME-002,判定,ブレーキ液不足,,,0.8,
THEME-002-N005,THEME-002,判定,ブレーキ液補充後確認,,,0.8,
THEME-002-N006,THEME-002,原因仮説,システム異常疑い,,,0.8,
THEME-002-N007,THEME-002,判定,即時停車,,,0.8,
THEME-002-→--緊急連絡,THEME-002,エスカレーション,→  緊急連絡,,,1.0,終端ノード(⚠)
THEME-002-販売店連絡,THEME-002,エスカレーション,販売店連絡,,,1.0,終端ノード(⚠)
THEME-002-緊急連絡,THEME-002,エスカレーション,緊急連絡,,,1.0,終端ノード(⚠)
THEME-002-解決,THEME-002,対応完了,解決,,,1.0,終端ノード(✓)
THEME-001-START,THEME-001,異常検知,スマートキーでドアが開かない,ユーザーが問題を認識,,1.0,開始ノード
THEME-001-N001,THEME-001,原因仮説,キー電池切れ疑い,,,0.8,
THEME-001-N002,THEME-001,対応選択,機械キー使用,,,0.8,
THEME-001-N003,THEME-001,判定,機械キー取り出し,,,0.8,
THEME-001-N004,THEME-001,判定,機械キー未所持,,,0.8,
THEME-001-→--ロードサービス,THEME-001,エスカレーション,→  ロードサービス,,,1.0,終端ノード(⚠)
THEME-001-N005,THEME-001,対応選択,電池交換,,,0.8,
THEME-001-N006,THEME-001,対応選択,電池交換準備,,,0.8,
THEME-001-N007,THEME-001,判定,電池購入サポート,,,0.8,
THEME-001-N008,THEME-001,対応選択,電池交換実施,,,0.8,
THEME-001-N009,THEME-001,判定,販売店予約,,,0.8,
THEME-001-→--販売店対応,THEME-001,エスカレーション,→  販売店対応,,,1.0,終端ノード(⚠)
THEME-001-N010,THEME-001,対応選択,電池交換でも未解決,,,0.8,
THEME-001-N011,THEME-001,原因仮説,車両側問題疑い,,,0.8,
THEME-001-N012,THEME-001,判定,バッテリー上がり,,,0.8,
THEME-001-N013,THEME-001,対応選択,ジャンプスタート実施,,,0.8,
THEME-001-→--解決,THEME-001,対応完了,→  解決,,,1.0,終端ノード(✓)
THEME-001-N014,THEME-001,原因仮説,電波干渉診断,,,0.8,
THEME-001-N015,THEME-001,対応選択,電波干渉対応,,,0.8,
THEME-001-N016,THEME-001,原因仮説,その他診断,,,0.8,
THEME-001-N017,THEME-001,対応選択,代替キー使用,,,0.8,
THEME-001-N018,THEME-001,問題・故障,元のキー故障,,,0.8,
THEME-001-→--販売店対応,THEME-001,エスカレーション,→  販売店対応,,,1.0,終端ノード(⚠)
THEME-001-ドアロック故障,THEME-001,問題・故障,ドアロック故障,,,1.0,終端ノード(✗)
THEME-001-→--ロードサービス,THEME-001,エスカレーション,→  ロードサービス,,,1.0,終端ノード(⚠)
THEME-001-ロードサービス,THEME-001,エスカレーション,ロードサービス,,,1.0,終端ノード(⚠)
THEME-001-販売店対応,THEME-001,エスカレーション,販売店対応,,,1.0,終端ノード(⚠)
THEME-001-解決,THEME-001,対応完了,解決,,,1.0,終端ノード(✓)
