商談ID,顧客プロファイルID,家族構成ID,用途ID,予算ID,商談シーンID,総合提案レベル,推奨トークスクリプト,重点訴求ポイント,提示資料,デモ・体験,次ステップ提案,備考
SALES_011,PROF_001,FAM_007,USE_002,BUD_002,SCENE_003,2.0,運転に不安を感じる場面でも、この車がしっかりサポートしてくれます。実際に体験していただきながら、安心してお使いいただける機能をご紹介します。,運転支援機能、視認性の良さ、乗降のしやすさ、シンプルな操作性,高齢者向け安全装備資料、大きな文字のパンフレット、操作ガイド,駐車支援体験、視界確認、乗降体験、シンプルモード設定,ゆっくり試乗、家族同伴での再来店,高齢者に配慮した説明
SALES_012,PROF_003,FAM_008,USE_004,BUD_004,SCENE_006,1.4,他社の7人乗りと比較されているとのことですね。室内空間の広さと、3列目の快適性で当社が選ばれている理由をご説明します。,室内空間の広さ、3列目の快適性、荷室の使い勝手、燃費性能,競合比較表（室内寸法）、3列目シート比較、荷室アレンジ例,3列目シート座り比べ、荷室アレンジ体験、大家族オーナーの声,試乗（3列フル乗車）、特別値引き提案,競合との差別化明確に
SALES_013,PROF_002,FAM_002,USE_005,BUD_004,SCENE_007,1.0,ご検討いただきありがとうございます。最後に気になる点やご不安な点はございませんか？安心してお選びいただけるようサポートいたします。,長距離での快適性、ACC/LKAの便利さ、アフターサービス、下取り価格,最終見積書、保証内容詳細、メンテナンスパック、下取り査定書,最終確認、オプション再確認、納期確認,契約手続き、納車日調整,最終的な不安解消
SALES_014,PROF_005,FAM_003,USE_003,BUD_002,SCENE_008,1.6,ご契約ありがとうございます。納車までの流れと、納車後のサポート体制についてご説明します。,納車スケジュール、必要書類、納車時の説明内容、アフターサービス,契約書類、納車スケジュール表、取扱説明書、サポート窓口一覧,書類記入サポート、納車時説明の予告、アプリ登録,納車日確定、事前準備の案内,安心感を与える
SALES_015,PROF_001,FAM_001,USE_001,BUD_001,SCENE_010,2.3,本日はご納車おめでとうございます。これから安全に快適にお使いいただけるよう、一つ一つ丁寧にご説明させていただきます。,基本操作、安全装備の使い方、メンテナンス、困った時の連絡先,納車チェックリスト、クイックガイド、メンテナンススケジュール、緊急連絡先カード,全機能の実演、スマホ連携設定、初回点検予約,1週間後フォロー電話、1ヶ月点検案内,最も丁寧な説明が必要
SALES_016,PROF_004,FAM_002,USE_008,BUD_005,SCENE_010,1.2,ご納車おめでとうございます。基本的な操作はご存知かと思いますので、この車ならではの先進機能を中心にご説明します。,先進機能の詳細、カスタマイズ設定、メンテナンス、性能を引き出す使い方,納車チェックリスト、詳細設定ガイド、メンテナンススケジュール,先進機能デモ、詳細設定、カスタマイズ提案,フォローアップ、カスタマイズ相談,簡潔だが詳細な説明
SALES_017,PROF_010,FAM_006,USE_007,BUD_003,SCENE_009,1.8,納車前の最終確認です。特に安全装備と、ご高齢の方の乗降に関する機能を重点的に確認させていただきます。,安全装備の最終確認、乗降サポート機能、緊急時の対応、サポート体制,納車前確認シート、安全装備チェックリスト、緊急時対応マニュアル,安全装備の動作確認、乗降サポート確認、緊急ボタン説明,納車時の詳細説明予告、家族同席の推奨,安全性を最優先で確認
SALES_018,PROF_006,FAM_001,USE_006,BUD_002,SCENE_008,1.3,ご契約ありがとうございます。法人様向けの納車手続きと、車両管理システムの導入についてご説明します。,納車スケジュール、車両管理システム、メンテナンス契約、請求・支払い,契約書類、車両管理システム資料、メンテナンス契約書、請求書サンプル,車両管理システムデモ、メンテナンス説明,納車・運用開始、複数台導入の相談,法人対応の説明
SALES_019,PROF_007,FAM_002,USE_008,BUD_006,SCENE_010,1.3,本日はご納車おめでとうございます。最上位グレードならではの特別な装備と、上質な使い心地をご体験ください。,専用装備の使い方、質感の楽しみ方、オーナー特典、コンシェルジュサービス,納車チェックリスト、専用装備ガイド、オーナー特典案内、コンシェルジュ連絡先,専用装備デモ、プレミアムオーディオ設定、特別機能説明,オーナーズイベント案内、コンシェルジュ紹介,特別感のある対応
SALES_020,PROF_008,FAM_004,USE_002,BUD_001,SCENE_010,1.6,ご納車おめでとうございます。毎日使う車だからこそ、基本的な使い方をしっかりマスターしていただけるようご説明します。,基本操作、日常点検、燃費を良くする運転方法、メンテナンス,納車チェックリスト、簡単操作ガイド、日常点検表、メンテナンススケジュール,基本操作実演、燃費運転のコツ、日常点検方法,1週間後フォロー、エコドライブ講習案内,実用的な説明
